"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","Rear of vehicle is fully visible and unobstructed, allowing clear assessment of the rear bumper area and trunk panel.","claim_mismatch","dent","rear_bumper","supported","img_1 shows the rear of a white vehicle with significant damage in the claimed rear bumper area. The rear bumper cover is completely absent, exposing the underlying metal frame structure, and the trunk lid/rear body panel shows visible deformation consistent with a rear impact. Damage is confirmed in the claimed location, though more severe than described as a simple dent.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","Front bumper is clearly visible in img_1 with damage evident, satisfying REQ_CAR_BODY_PANEL and REQ_GENERAL_OBJECT_PART.","claim_mismatch","dent","front_bumper","supported","img_1 shows the front of a white car with visible deformation and crushing at the front right corner of the bumper. Damage on the claimed part (front bumper) is confirmed. However, the actual damage is a dent/structural deformation rather than the surface scratch claimed by the user, indicating claim_mismatch on damage type. Headlight appears undamaged, consistent with user's statement that the light is fine.","img_1","true","medium"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","img_1 clearly shows the windshield with visible crack damage sufficient to evaluate the claim; img_2 shows a windshield with no damage visible, possibly a different vehicle or angle that does not capture the crack.","none","crack","windshield","supported","img_1 shows an extensive spider-web crack pattern originating from an impact point on the left side of the windshield, consistent with the user's report of a stone strike causing a spreading crack. img_2 shows a car windshield that appears undamaged and does not contribute supporting evidence, but img_1 alone is sufficient to confirm the claimed damage.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The side mirror is clearly visible and shows visible damage that can be evaluated against the claim.","none","broken_part","side_mirror","supported","img_1 clearly shows the side mirror of a red car with the mirror glass cracked/shattered and the component visibly damaged, consistent with the customer's claim that the side mirror was hit and 'is not sitting the way it should anymore'.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","img_1 shows the rear-left side of the car with a visible dent, sufficient to assess damage present on this area.","user_history_risk;claim_mismatch","dent","rear_bumper","contradicted","img_1 shows a visible dent on the rear quarter panel near the rear wheel well, not on the rear bumper as claimed. The rear bumper itself is not shown in img_1. The user describes the damage as 'pretty bad' but the dent visible in img_1 is of moderate severity only. User history flags several exaggerated vehicle damage claims, consistent with the overstated severity description.","img_1","true","medium"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The claimed part (headlight) is not visible in the image. The image shows only the rear-right side of the car; the front where the headlight is located is entirely out of frame.","wrong_angle;non_original_image","unknown","headlight","not_enough_information","img_1 shows a dark sedan from the rear-right side angle on a road at sunset. The front of the vehicle, including the claimed headlight, is completely outside the frame and cannot be evaluated. Additionally, the image has the composition and lighting of a stock or promotional photograph rather than a user-taken damage photo.","none","false","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","img_2 clearly shows the car door panel from a side angle sufficient to assess surface deformation; the reflection pattern on the panel reveals an inward depression consistent with a dent.","blurry_image","dent","door","supported","img_2 provides a close-up of the lower door/body panel area and shows visible surface deformation with distorted reflections indicating a dent, consistent with the user's claim of a dent on the door panel. img_1 is a wide-angle shot that is too blurry to evaluate specific damage but the claim is confirmed by img_2 alone.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","false","The submitted image is a Vecteezy stock photo with visible watermarks, not an original photo of the user's car. It cannot serve as valid evidence for the claim.","non_original_image;claim_mismatch;user_history_risk","unknown","hood","contradicted","img_1 bears Vecteezy watermarks throughout, confirming it is a stock photo and not an original photograph of the user's vehicle. The image depicts a catastrophically wrecked car with the hood open, stripped body panels, and engine fully exposed — completely inconsistent with the claimed minor scratch across a hood panel after a service visit. The image is invalid as evidence and directly contradicts the claim narrative.","none","false","unknown"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","img_1 clearly shows the laptop screen with visible and extensive crack damage, sufficient to evaluate the claim.","none","crack","screen","supported","img_1 shows a laptop with a severely cracked screen featuring a spider-web fracture pattern radiating from an impact point, consistent with the user's claim of the display glass cracking after the laptop fell from a table.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","img_1 clearly shows the laptop hinge/lid area with visible structural damage, sufficient to evaluate the claim.","none","broken_part","hinge","supported","img_1 shows the laptop hinge area where the lid meets the body. The hinge casing is visibly cracked and broken open, with the internal metal hinge mechanism exposed and the plastic bezel separating from the frame. This is consistent with the user's claim of a broken hinge causing the screen to wobble after a drop.","img_1","true","medium"
